creationDate,startDate,endDate,value
2023-09-30 04:08:06 +0100,2023-09-30 04:00:06 +0100,2023-09-30 04:00:06 +0100,53
2023-09-30 04:11:58 +0100,2023-09-30 04:09:29 +0100,2023-09-30 04:09:29 +0100,53
2023-09-30 04:17:06 +0100,2023-09-30 04:11:20 +0100,2023-09-30 04:11:20 +0100,55
2023-09-30 04:19:46 +0100,2023-09-30 04:19:19 +0100,2023-09-30 04:19:19 +0100,53
2023-09-30 04:23:48 +0100,2023-09-30 04:23:48 +0100,2023-09-30 04:23:48 +0100,52
2023-09-30 04:32:46 +0100,2023-09-30 04:20:54 +0100,2023-09-30 04:20:54 +0100,52
2023-09-30 04:32:46 +0100,2023-09-30 04:24:37 +0100,2023-09-30 04:24:37 +0100,56
2023-09-30 04:35:01 +0100,2023-09-30 04:33:13 +0100,2023-09-30 04:33:13 +0100,56
2023-09-30 04:41:13 +0100,2023-09-30 04:35:58 +0100,2023-09-30 04:35:58 +0100,56
2023-09-30 04:46:28 +0100,2023-09-30 04:40:08 +0100,2023-09-30 04:40:08 +0100,53
2023-09-30 04:50:15 +0100,2023-09-30 04:45:56 +0100,2023-09-30 04:45:56 +0100,53
2023-09-30 04:53:49 +0100,2023-09-30 04:53:49 +0100,2023-09-30 04:53:49 +0100,63
2023-09-30 04:56:37 +0100,2023-09-30 04:53:01 +0100,2023-09-30 04:53:01 +0100,59
2023-09-30 05:00:27 +0100,2023-09-30 04:58:18 +0100,2023-09-30 04:58:18 +0100,53
2023-09-30 05:00:27 +0100,2023-09-30 04:59:26 +0100,2023-09-30 04:59:26 +0100,53.471
2023-09-30 05:05:30 +0100,2023-09-30 04:59:46 +0100,2023-09-30 04:59:46 +0100,52
2023-09-30 05:13:37 +0100,2023-09-30 05:05:22 +0100,2023-09-30 05:05:22 +0100,54
2023-09-30 05:16:19 +0100,2023-09-30 05:09:36 +0100,2023-09-30 05:09:36 +0100,60
2023-09-30 05:20:01 +0100,2023-09-30 05:18:29 +0100,2023-09-30 05:18:29 +0100,54
2023-09-30 05:23:50 +0100,2023-09-30 05:23:50 +0100,2023-09-30 05:23:50 +0100,55
2023-09-30 05:28:37 +0100,2023-09-30 05:22:47 +0100,2023-09-30 05:22:47 +0100,56
2023-09-30 05:38:40 +0100,2023-09-30 05:27:18 +0100,2023-09-30 05:27:18 +0100,59
2023-09-30 05:38:40 +0100,2023-09-30 05:30:13 +0100,2023-09-30 05:30:13 +0100,55
2023-09-30 05:42:47 +0100,2023-09-30 05:34:52 +0100,2023-09-30 05:34:52 +0100,60
2023-09-30 05:50:01 +0100,2023-09-30 05:40:00 +0100,2023-09-30 05:40:00 +0100,58
2023-09-30 05:53:51 +0100,2023-09-30 05:45:31 +0100,2023-09-30 05:45:31 +0100,60
2023-09-30 05:53:51 +0100,2023-09-30 05:53:51 +0100,2023-09-30 05:53:51 +0100,60
2023-09-30 05:58:40 +0100,2023-09-30 05:49:53 +0100,2023-09-30 05:49:53 +0100,59
2023-09-30 06:04:08 +0100,2023-09-30 05:54:46 +0100,2023-09-30 05:54:46 +0100,58
2023-09-30 06:05:54 +0100,2023-09-30 05:59:38 +0100,2023-09-30 05:59:38 +0100,58
2023-09-30 06:11:31 +0100,2023-09-30 06:07:05 +0100,2023-09-30 06:07:05 +0100,53
